step,mse
1,67.46036060216507
2,66.21790439097964
3,79.50792412043391
4,80.65193267995743
5,158.7556424900232
6,106.43469385505128
7,144.54608887072476
8,128.26226756184062
9,170.35054529459597
10,227.51222544953256
