date,date,date.3,date.2,date.1,unnamed: 0,open,high,low,close,adjclose,volume,ticker
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1997-05-15,2.4375,2.5,1.9270830154418943,1.9583330154418943,1.9583330154418943,72156000,AMZN
1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1997-05-16,1.96875,1.9791669845581048,1.7083330154418943,1.7291669845581057,1.7291669845581057,14700000,AMZN
1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1997-05-19,1.7604169845581057,1.7708330154418943,1.625,1.7083330154418943,1.7083330154418943,6106800,AMZN
1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1997-05-20,1.7291669845581057,1.75,1.6354169845581057,1.6354169845581057,1.6354169845581057,5467200,AMZN
1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1997-05-21,1.6354169845581057,1.6458330154418943,1.375,1.4270830154418943,1.4270830154418943,18853200,AMZN
1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1997-05-22,1.4375,1.4479169845581057,1.3125,1.3958330154418943,1.3958330154418943,11776800,AMZN
1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1997-05-23,1.40625,1.5208330154418943,1.3333330154418943,1.5,1.5,15937200,AMZN
1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1997-05-27,1.5104169845581057,1.6458330154418943,1.4583330154418943,1.5833330154418943,1.5833330154418943,8697600,AMZN
1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1997-05-28,1.625,1.6354169845581057,1.53125,1.53125,1.53125,4574400,AMZN
1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1997-05-29,1.5416669845581057,1.5416669845581057,1.4791669845581057,1.5052080154418943,1.5052080154418943,3472800,AMZN
1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1997-05-30,1.5,1.5104169845581057,1.4791669845581057,1.5,1.5,2594400,AMZN
1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,1997-06-02,1.5104169845581057,1.53125,1.5,1.5104169845581057,1.5104169845581057,591600,AMZN
1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,1997-06-03,1.53125,1.53125,1.4791669845581057,1.4791669845581057,1.4791669845581057,1183200,AMZN
1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,1997-06-04,1.4791669845581057,1.4895830154418943,1.3958330154418943,1.4166669845581057,1.4166669845581057,3080400,AMZN
1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,1997-06-05,1.4166669845581057,1.5416669845581057,1.375,1.5416669845581057,1.5416669845581057,5672400,AMZN
1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,1997-06-06,1.515625,1.7083330154418943,1.5104169845581057,1.65625,1.65625,7807200,AMZN
1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,1997-06-09,1.65625,1.7083330154418943,1.65625,1.6875,1.6875,2352000,AMZN
1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,1997-06-10,1.7083330154418943,1.7083330154418943,1.53125,1.5833330154418943,1.5833330154418943,5458800,AMZN
1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,1997-06-11,1.59375,1.6041669845581057,1.53125,1.5416669845581057,1.5416669845581057,1188000,AMZN
1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,1997-06-12,1.5833330154418943,1.6458330154418943,1.5520830154418943,1.6041669845581057,1.6041669845581057,1632000,AMZN
1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,1997-06-13,1.625,1.625,1.5833330154418943,1.5833330154418943,1.5833330154418943,693600,AMZN
1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,1997-06-16,1.6041669845581057,1.6041669845581057,1.5625,1.5729169845581057,1.5729169845581057,913200,AMZN
1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,1997-06-17,1.5989580154418943,1.5989580154418943,1.4947919845581057,1.5052080154418943,1.5052080154418943,4706400,AMZN
1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1997-06-18,1.5208330154418943,1.5364580154418943,1.5,1.5104169845581057,1.5104169845581057,2464800,AMZN
1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,1997-06-19,1.5104169845581057,1.53125,1.5,1.5104169845581057,1.5104169845581057,1003200,AMZN
1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1997-06-20,1.53125,1.5520830154418943,1.5,1.5260419845581057,1.5260419845581057,3387600,AMZN
1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,1997-06-23,1.5416669845581057,1.5416669845581057,1.4791669845581057,1.5,1.5,1047600,AMZN
