,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-07-29,0.11822900176048279,0.125,0.1166670024394989,0.12395799905061722,0.12395799905061722,96288000,AMZN,0.090454005,0.10833299905061722,0.0,0.015625
1997-08-06,0.11041700094938278,0.11562500149011612,0.109375,0.11249999701976776,0.11249999701976776,24864000,AMZN,0.06197433,0.11588499695062637,0.0,-0.003384999930858612
1997-08-21,0.10677099972963333,0.10859400033950806,0.10364600270986557,0.10572899878025055,0.10572899878025055,12480000,AMZN,0.07436072,0.18437500298023224,0.0,-0.07864600419998169
1997-09-03,0.1171879991889,0.12083300203084946,0.11562500149011612,0.1166670024394989,0.1166670024394989,39288000,AMZN,0.09556723,0.21875,0.0,-0.1020829975605011
1997-09-05,0.12916700541973114,0.1333329975605011,0.12291699647903442,0.125,0.125,38160000,AMZN,0.094200574,0.20833300054073334,0.0,-0.08333300054073334
1997-09-10,0.16562500596046448,0.16640600562095642,0.15625,0.1651040017604828,0.1651040017604828,77328000,AMZN,0.09560148,0.20104199647903442,0.0,-0.035937994718551636
1997-09-15,0.18333299458026886,0.18385399878025055,0.15260399878025055,0.1546880006790161,0.1546880006790161,111672000,AMZN,0.107535325,0.20624999701976776,0.0,-0.05156199634075165
1997-09-17,0.17291699349880219,0.17499999701976776,0.16666699945926666,0.1703130006790161,0.1703130006790161,52152000,AMZN,0.103453405,0.2002599984407425,0.0,-0.02994699776172638
1997-09-22,0.20000000298023224,0.2338539958000183,0.19739599525928497,0.22499999403953552,0.22499999403953552,338760000,AMZN,0.17594711,0.20000000298023224,0.0,0.024999991059303284
1997-09-29,0.20729200541973114,0.20937499403953552,0.19791699945926666,0.20208300650119781,0.20208300650119781,47424000,AMZN,0.121169366,0.19114600121974945,0.0,0.010937005281448364
1997-10-06,0.20000000298023224,0.20624999701976776,0.19713500142097473,0.20624999701976776,0.20624999701976776,40560000,AMZN,0.1538175,0.21354199945926666,0.0,-0.007292002439498901
1997-10-17,0.1807290017604828,0.18281300365924835,0.17604200541973114,0.18125000596046448,0.18125000596046448,50688000,AMZN,0.14499739,0.22395800054073334,0.0,-0.04270799458026886
1997-10-21,0.19791699945926666,0.22187499701976776,0.19270800054073334,0.22135399281978607,0.22135399281978607,241920000,AMZN,0.16779411,0.19739599525928497,0.0,0.0239579975605011
