Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2018-02-01,39.292701721191406,41.94499969482422,42.154998779296875,41.689998626708984,41.79249954223633,188923200
2018-02-02,37.587791442871094,40.125,41.70000076293945,40.025001525878906,41.5,346375200
2018-02-05,36.648685455322266,39.122501373291016,40.970001220703125,39.0,39.775001525878906,290954000
2018-02-06,38.180294036865234,40.75749969482422,40.93000030517578,38.5,38.70750045776367,272975200
2018-02-07,37.36295700073242,39.8849983215332,40.849998474121094,39.76750183105469,40.772499084472656,206434400
2018-02-08,36.334861755371094,38.787498474121094,40.25,38.75749969482422,40.0724983215332,217562000
2018-02-09,36.77928924560547,39.102500915527344,39.47249984741211,37.560001373291016,39.26750183105469,282690400
2018-02-12,38.26072692871094,40.6775016784668,40.97249984741211,39.377498626708984,39.625,243278000
2018-02-13,38.64400100708008,41.084999084472656,41.1875,40.412498474121094,40.48749923706055,130196800
2018-02-14,39.35649108886719,41.842498779296875,41.8849983215332,40.720001220703125,40.7599983215332,162579600
2018-02-15,40.67802810668945,43.247501373291016,43.272499084472656,42.25,42.4474983215332,204588800
2018-02-16,40.54633712768555,43.10749816894531,43.70500183105469,42.942501068115234,43.09000015258789,160704400
2018-02-20,40.40995788574219,42.962501525878906,43.564998626708984,42.85499954223633,43.01250076293945,135722000
2018-02-21,40.22653579711914,42.76750183105469,43.529998779296875,42.752498626708984,43.20750045776367,149886400
2018-02-22,40.56279373168945,43.125,43.48749923706055,42.9275016784668,42.95000076293945,123967600
2018-02-23,41.26824188232422,43.875,43.912498474121094,43.3849983215332,43.41749954223633,135249600
2018-02-26,42.084197998046875,44.74250030517578,44.84749984741211,44.0525016784668,44.087501525878906,152648800
2018-02-27,41.947811126708984,44.59749984741211,45.119998931884766,44.540000915527344,44.775001525878906,155712400
2018-02-28,41.88433074951172,44.529998779296875,45.154998779296875,44.51250076293945,44.814998626708984,151128400
2018-03-01,41.15066909790039,43.75,44.94499969482422,43.165000915527344,44.6349983215332,195208000
2018-03-02,41.43519592285156,44.0525016784668,44.07500076293945,43.11249923706055,43.20000076293945,153816000
2018-03-05,41.578643798828125,44.20500183105469,44.435001373291016,43.630001068115234,43.8025016784668,113605600
2018-03-06,41.543365478515625,44.16749954223633,44.5625,44.032501220703125,44.477500915527344,95154000
2018-03-07,41.15772247314453,43.75749969482422,43.962501525878906,43.567501068115234,43.73500061035156,126814000
2018-03-08,41.60684585571289,44.23500061035156,44.279998779296875,43.76750183105469,43.869998931884766,95096400
2018-03-09,42.32170104980469,44.994998931884766,45.0,44.34749984741211,44.4900016784668,128740800
2018-03-12,42.7308464050293,45.43000030517578,45.59749984741211,45.0525016784668,45.0724983215332,128828400
2018-03-13,42.31935119628906,44.99250030517578,45.875,44.810001373291016,45.647499084472656,126774000
2018-03-14,41.95957946777344,44.61000061035156,45.130001068115234,44.45249938964844,45.08000183105469,117473600
2018-03-15,42.00895690917969,44.662498474121094,45.060001373291016,44.51750183105469,44.625,90975200
2018-03-16,41.86081314086914,44.505001068115234,44.779998779296875,44.404998779296875,44.662498474121094,157618800
2018-03-19,41.221214294433594,43.82500076293945,44.36750030517578,43.415000915527344,44.33000183105469,133787200
2018-03-20,41.20710754394531,43.810001373291016,44.20000076293945,43.73500061035156,43.810001373291016,78597600
2018-03-21,40.27357482910156,42.817501068115234,43.772499084472656,42.814998626708984,43.7599983215332,148219600
2018-03-22,39.70452117919922,42.212501525878906,43.16999816894531,42.150001525878906,42.5,165963200
2018-03-23,38.785091400146484,41.23500061035156,42.47999954223633,41.23500061035156,42.09749984741211,164115200
2018-03-26,40.626285552978516,43.192501068115234,43.275001525878906,41.61000061035156,42.01750183105469,150164800
2018-03-27,39.5845832824707,42.084999084472656,43.787498474121094,41.72999954223633,43.41999816894531,163690400
2018-03-28,39.147220611572266,41.619998931884766,42.505001068115234,41.29750061035156,41.8125,166674000
2018-03-29,39.452919006347656,41.94499969482422,42.9375,41.724998474121094,41.95249938964844,153594000
2018-04-02,39.194244384765625,41.66999816894531,42.23500061035156,41.11750030517578,41.65999984741211,150347200
2018-04-03,39.59635543823242,42.09749984741211,42.1875,41.220001220703125,41.90999984741211,121112000
2018-04-04,40.35352325439453,42.90250015258789,43.002498626708984,41.192501068115234,41.220001220703125,138422000
2018-04-05,40.63334655761719,43.20000076293945,43.557498931884766,43.02000045776367,43.14500045776367,107732800
2018-04-06,39.59400939941406,42.095001220703125,43.119998931884766,42.04999923706055,42.74250030517578,140021200
2018-04-09,39.986690521240234,42.51250076293945,43.272499084472656,42.462501525878906,42.470001220703125,116070800
2018-04-10,40.73915100097656,43.3125,43.5,42.88249969482422,43.25,113634400
2018-04-11,40.5486946105957,43.11000061035156,43.47999954223633,42.92499923706055,43.057498931884766,89726400
2018-04-12,40.948448181152344,43.53499984741211,43.75,43.2599983215332,43.352500915527344,91557200
2018-04-13,41.08716583251953,43.682498931884766,43.959999084472656,43.462501525878906,43.69499969482422,100497200
2018-04-16,41.34349822998047,43.95500183105469,44.04750061035156,43.70750045776367,43.75749969482422,86313600
2018-04-17,41.91254806518555,44.560001373291016,44.73500061035156,44.102500915527344,44.122501373291016,106421600
2018-04-18,41.8184814453125,44.459999084472656,44.70500183105469,44.220001220703125,44.45249938964844,83018000
2018-04-19,40.63334655761719,43.20000076293945,43.84749984741211,43.165000915527344,43.439998626708984,139235200
2018-04-20,38.96852111816406,41.43000030517578,42.80500030517578,41.35749816894531,42.650001525878906,261964400
2018-04-23,38.85563659667969,41.310001373291016,41.72999954223633,41.022499084472656,41.70750045776367,146062000
2018-04-24,38.3148078918457,40.73500061035156,41.58250045776367,40.30500030517578,41.41749954223633,134768000
2018-04-25,38.48175048828125,40.912498474121094,41.35499954223633,40.602500915527344,40.654998779296875,113528400
2018-04-26,38.61578369140625,41.05500030517578,41.432498931884766,40.842498779296875,41.029998779296875,111852000
2018-04-27,38.16901397705078,40.58000183105469,41.08250045776367,40.157501220703125,41.0,142623200
2018-04-30,38.860347747802734,41.314998626708984,41.814998626708984,40.459999084472656,40.532501220703125,169709600
2018-05-01,39.76329803466797,42.275001525878906,42.29999923706055,41.317501068115234,41.602500915527344,214277600
2018-05-02,41.51985168457031,44.14250183105469,44.4375,43.45000076293945,43.807498931884766,266157600
2018-05-03,41.5951042175293,44.22249984741211,44.375,43.61000061035156,43.970001220703125,136272800
2018-05-04,43.22701644897461,45.95750045776367,46.0625,44.54249954223633,44.5625,224805200
2018-05-07,43.539764404296875,46.290000915527344,46.91749954223633,46.1875,46.29499816894531,169805600
2018-05-08,43.74904251098633,46.51250076293945,46.55500030517578,45.91749954223633,46.247501373291016,113611200
2018-05-09,44.05707931518555,46.84000015258789,46.849998474121094,46.30500030517578,46.63750076293945,92844800
2018-05-10,44.68728256225586,47.5099983215332,47.592498779296875,46.912498474121094,46.935001373291016,111957200
2018-05-11,44.51731491088867,47.147499084472656,47.51499938964844,46.86249923706055,47.372501373291016,104848800
2018-05-14,44.4134521484375,47.037498474121094,47.38249969482422,46.96500015258789,47.252498626708984,83115200
2018-05-15,44.00980758666992,46.61000061035156,46.76750183105469,46.275001525878906,46.69499969482422,94780800
2018-05-16,44.42053985595703,47.04499816894531,47.1150016784668,46.5,46.51750183105469,76732400
2018-05-17,44.13963317871094,46.747501373291016,47.227500915527344,46.59000015258789,47.0,69176000
2018-05-18,43.97910690307617,46.57749938964844,46.95249938964844,46.532501220703125,46.79750061035156,73190800
2018-05-21,44.29070281982422,46.907501220703125,47.317501068115234,46.727500915527344,47.0,73603200
2018-05-22,44.179752349853516,46.790000915527344,47.220001220703125,46.69499969482422,47.095001220703125,60962800
2018-05-23,44.4630241394043,47.09000015258789,47.125,46.439998626708984,46.587501525878906,80233600
2018-05-24,44.4134521484375,47.037498474121094,47.209999084472656,46.5525016784668,47.192501068115234,92936000
2018-05-25,44.51494598388672,47.14500045776367,47.412498474121094,46.912498474121094,47.057498931884766,69844000
2018-05-29,44.35444259643555,46.974998474121094,47.1875,46.717498779296875,46.900001525878906,90056400
2018-05-30,44.26002883911133,46.875,47.0,46.69499969482422,46.93000030517578,74762000
2018-05-31,44.11131286621094,46.717498779296875,47.057498931884766,46.53499984741211,46.80500030517578,109931200
2018-06-01,44.90679931640625,47.560001373291016,47.564998626708984,46.9375,46.997501373291016,93770000
2018-06-04,45.28213119506836,47.95750045776367,48.35499954223633,47.837501525878906,47.90999984741211,105064800
2018-06-05,45.6314811706543,48.32749938964844,48.48500061035156,48.09000015258789,48.26750183105469,86264000
2018-06-06,45.789642333984375,48.494998931884766,48.52000045776367,47.97999954223633,48.407501220703125,83734400
2018-06-07,45.66688919067383,48.3650016784668,48.54999923706055,48.084999084472656,48.53499984741211,85388800
2018-06-08,45.2514533996582,47.92499923706055,48.0,47.442501068115234,47.79249954223633,106627200
2018-06-11,45.14049530029297,47.807498931884766,47.99250030517578,47.5525016784668,47.837501525878906,73234000
2018-06-12,45.38835144042969,48.06999969482422,48.15250015258789,47.787498474121094,47.84749984741211,67644400
2018-06-13,45.015380859375,47.67499923706055,48.220001220703125,47.61000061035156,48.10499954223633,86553600
2018-06-14,45.03898620605469,47.70000076293945,47.89250183105469,47.55500030517578,47.88750076293945,86440400
2018-06-15,44.57632827758789,47.209999084472656,47.540000915527344,47.064998626708984,47.50749969482422,246876800
2018-06-18,44.5527229309082,47.185001373291016,47.30500030517578,46.79999923706055,46.970001220703125,73939600
2018-06-19,43.832763671875,46.42250061035156,46.58250045776367,45.86249923706055,46.28499984741211,134314000
2018-06-20,44.023963928222656,46.625,46.79999923706055,46.432498931884766,46.587501525878906,82514800
2018-06-21,43.77847671508789,46.3650016784668,47.087501525878906,46.23500061035156,46.8125,102847600
2018-06-22,43.6509895324707,46.22999954223633,46.537498474121094,46.17499923706055,46.529998779296875,108801600
2018-06-25,43.00185012817383,45.54249954223633,46.22999954223633,45.182498931884766,45.849998474121094,126652400
2018-06-26,43.53533935546875,46.10749816894531,46.63249969482422,45.6349983215332,45.747501373291016,98276800
2018-06-27,43.47159957885742,46.040000915527344,46.81999969482422,46.00749969482422,46.307498931884766,101141200
2018-06-28,43.787906646728516,46.375,46.5525016784668,45.95000076293945,46.025001525878906,69460800
2018-06-29,43.695858001708984,46.27750015258789,46.79750061035156,45.727500915527344,46.5724983215332,90950800
2018-07-02,44.184478759765625,46.79499816894531,46.82500076293945,45.85499954223633,45.95500183105469,70925200
2018-07-03,43.414939880371094,45.97999954223633,46.98749923706055,45.8849983215332,46.9474983215332,55819200
2018-07-05,43.76430892944336,46.349998474121094,46.602500915527344,46.06999969482422,46.314998626708984,66416800
2018-07-06,44.37096405029297,46.99250030517578,47.10749816894531,46.29999923706055,46.35499954223633,69940800
2018-07-09,44.987060546875,47.64500045776367,47.66999816894531,47.32500076293945,47.375,79026400
2018-07-10,44.93277359008789,47.587501525878906,47.81999969482422,47.54499816894531,47.6775016784668,63756400
2018-07-11,44.349735260009766,46.970001220703125,47.44499969482422,46.90250015258789,47.125,75326000
2018-07-12,45.093284606933594,47.75749969482422,47.852500915527344,47.32749938964844,47.38249969482422,72164400
2018-07-13,45.164100646972656,47.83250045776367,47.959999084472656,47.724998474121094,47.77000045776367,50055600
2018-07-16,45.064971923828125,47.727500915527344,48.162498474121094,47.60499954223633,47.880001068115234,60172400
2018-07-17,45.192420959472656,47.86249923706055,47.967498779296875,47.29999923706055,47.4375,62138000
2018-07-18,44.94456481933594,47.599998474121094,47.95000076293945,47.48249816894531,47.94499969482422,65573600
2018-07-19,45.2939338684082,47.970001220703125,48.13750076293945,47.42250061035156,47.42250061035156,81147200
2018-07-20,45.19007873535156,47.86000061035156,48.10749816894531,47.54249954223633,47.94499969482422,82704800
2018-07-23,45.230186462402344,47.90250015258789,47.9900016784668,47.38999938964844,47.66999816894531,63957600
2018-07-24,45.558311462402344,48.25,48.415000915527344,48.01250076293945,48.11249923706055,74791600
2018-07-25,45.98793411254883,48.70500183105469,48.712501525878906,48.10749816894531,48.26499938964844,66839600
2018-07-26,45.843936920166016,48.5525016784668,48.9900016784668,48.40250015258789,48.65250015258789,76304000
2018-07-27,45.08148956298828,47.744998931884766,48.79750061035156,47.525001525878906,48.747501373291016,96096000
2018-07-30,44.828914642333984,47.477500915527344,48.04999923706055,47.26750183105469,47.974998474121094,84118000
2018-07-31,44.91860580444336,47.5724983215332,48.03499984741211,47.334999084472656,47.57500076293945,157492000
2018-08-01,47.564754486083984,50.375,50.439998626708984,49.32749938964844,49.782501220703125,271742800
2018-08-02,48.95512008666992,51.84749984741211,52.095001220703125,50.087501525878906,50.14500045776367,249616000
2018-08-03,49.09675598144531,51.997501373291016,52.185001373291016,51.369998931884766,51.75749969482422,133789600
2018-08-06,49.351688385009766,52.26750183105469,52.3125,51.76750183105469,52.0,101701600
2018-08-07,48.8890380859375,51.77750015258789,52.375,51.689998626708984,52.33000183105469,102349600
2018-08-08,48.92207717895508,51.8125,51.95249938964844,51.130001068115234,51.51250076293945,90102000
2018-08-09,49.306846618652344,52.220001220703125,52.44499969482422,51.79999923706055,52.38249969482422,93970400
2018-08-10,49.159976959228516,51.88249969482422,52.275001525878906,51.66749954223633,51.84000015258789,98444800
2018-08-13,49.477394104003906,52.217498779296875,52.73749923706055,51.92499923706055,52.32749938964844,103563600
2018-08-14,49.68584442138672,52.4375,52.63999938964844,52.064998626708984,52.540000915527344,82992000
2018-08-15,49.80192947387695,52.560001373291016,52.685001373291016,52.08250045776367,52.30500030517578,115230400
2018-08-16,50.53152847290039,53.33000183105469,53.45249938964844,52.86750030517578,52.9375,114001600
2018-08-17,51.54063415527344,54.39500045776367,54.48749923706055,53.290000915527344,53.36000061035156,141708000
2018-08-20,51.038448333740234,53.8650016784668,54.79499816894531,53.77750015258789,54.525001525878906,121150800
2018-08-21,50.9389533996582,53.7599983215332,54.29750061035156,53.50749969482422,54.20000076293945,104639200
2018-08-22,50.94132614135742,53.76250076293945,54.09000015258789,53.459999084472656,53.525001525878906,76072400
2018-08-23,51.045555114746094,53.872501373291016,54.26250076293945,53.650001525878906,53.662498474121094,75532800
2018-08-24,51.20425033569336,54.040000915527344,54.224998474121094,53.77750015258789,54.150001525878906,73905600
2018-08-27,51.625911712646484,54.48500061035156,54.685001373291016,54.08250045776367,54.287498474121094,82100400
2018-08-28,52.042816162109375,54.92499923706055,55.1349983215332,54.72999954223633,54.752498626708984,91107200
2018-08-29,52.81978988647461,55.744998931884766,55.872501373291016,54.852500915527344,55.037498474121094,109019200
2018-08-30,53.30540084838867,56.25749969482422,57.064998626708984,55.599998474121094,55.8125,195175200
2018-08-31,53.921295166015625,56.907501220703125,57.217498779296875,56.5,56.627498626708984,173360400
2018-09-04,54.094215393066406,57.09000015258789,57.29499816894531,56.657501220703125,57.102500915527344,109560400
2018-09-05,53.74125289916992,56.717498779296875,57.41749954223633,56.275001525878906,57.247501373291016,133332000
2018-09-06,52.84821701049805,55.775001525878906,56.837501525878906,55.32500076293945,56.557498931884766,137160000
2018-09-07,52.42182922363281,55.32500076293945,56.342498779296875,55.1775016784668,55.462501525878906,150479200
2018-09-10,51.71829605102539,54.58250045776367,55.462501525878906,54.11750030517578,55.23749923706055,158066000
2018-09-11,53.02587890625,55.962501525878906,56.07500076293945,54.13999938964844,54.502498626708984,142996000
2018-09-12,52.36735153198242,55.26750183105469,56.25,54.959999084472656,56.23500061035156,197114800
2018-09-13,53.632293701171875,56.602500915527344,57.087501525878906,55.64250183105469,55.880001068115234,166825600
2018-09-14,53.02350997924805,55.959999084472656,56.709999084472656,55.630001068115234,56.4375,127997200
2018-09-17,51.6117057800293,54.470001220703125,55.73749923706055,54.317501068115234,55.537498474121094,148780400
2018-09-18,51.69697952270508,54.560001373291016,55.462501525878906,54.279998779296875,54.4474983215332,126286800
2018-09-19,51.72777557373047,54.592498779296875,54.904998779296875,53.82500076293945,54.625,108495200
2018-09-20,52.120994567871094,55.00749969482422,55.56999969482422,54.787498474121094,55.060001373291016,106435200
2018-09-21,51.5595817565918,54.415000915527344,55.34000015258789,54.3224983215332,55.19499969482422,384986800
